ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000084;-2,88;0,25;8;0,13;Sim/A/A05;-2,88;0,25;4;0,25;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,88 (3,9 | 2 | 0) -2,88 (87,63 | 1 | 0) -2,88 (1014,31 | 1 | 0) 
P000085;-2,42;0,19;10;0,4;Sim/A/A02;-2,16;0,4;3;0,33
P000085;-2,42;0,19;10;0,4;Sim/A/A05;-2,49;0,2;5;0,6;Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-2,49 (0,2 | 5 | 0,6) -2,42 (24,89 | 1 | 0) -2,42 (263,72 | 1 | 0) 
P000086;0,7;0,19;5;0,6;;;;;;Sim/B/B03 ;0,27 (0,55 | 2 | 0) 
P000087;-0,46;0,18;5;0,4;;;;;;Sim/B/B01 Sim/B/B02 Sim/C/C01 ;-0,47 (0,83 | 1 | 0) -0,52 (0,38 | 1 | 0) -0,5 (0,42 | 1 | 0) 
P000088;6,33;0,85;25;0,92;Sim/C/C09;6,11;1,17;6;0,83;Sim/C/C06 Sim/C/C09 ;4,58 (0,7 | 2 | 0,5) 6,11 (1,17 | 6 | 0,83) 
P000089;-0,73;0,21;5;0,2;;;;;;Sim/A/A07 Sim/B/B01 Sim/C/C01 ;-0,81 (0,32 | 2 | 0) -0,73 (1,75 | 1 | 0) -0,75 (0,73 | 1 | 0) 
P000090;1,61;0,29;6;0,67;Sim/B/B03;1,7;0,44;3;1;Sim/B/B01 Sim/B/B02 ;0,7 (0,97 | 2 | 0,5) 1,58 (0,73 | 1 | 0) 
P000091;0,4;0,19;7;0,29;Sim/B/B03;0,81;0,26;3;0,33;Sim/C/C03 ;0,32 (0,32 | 2 | 0) 
P000092;0,3;0,21;6;0,83;;;;;;Sim/B/B01 ;-0,06 (0,36 | 1 | 0) 
P000093;-1,67;0,22;6;0,33;Sim/A/A02;-1,51;0,29;3;0,67;Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,74 (0,4 | 1 | 0) -1,67 (3,07 | 1 | 0) -1,67 (27,96 | 1 | 0) 
P000094;2;0,28;7;0,71;Sim/B/B02;1,87;0,35;3;0,33;Sim/B/B02 ;1,87 (0,35 | 3 | 0,33) 
P000095;0,7;0,19;5;0,6;;;;;;Sim/B/B03 ;0,27 (0,55 | 2 | 0) 
P000096;6,69;1,09;25;1;Sim/C/C08;6,06;0,97;8;1
P000096;6,69;1,09;25;1;Sim/C/C09;6;1,06;6;1;;
P000097;1,8;0,29;7;0,71;Sim/B/B03;1,85;0,61;3;1;Sim/B/B02 ;1,68 (0,47 | 2 | 0) 
P000098;3,25;0,16;11;0,64;Sim/C/C10;3,43;0,22;3;0,67;Sim/C/C05 Sim/C/C07 ;3,22 (0,51 | 1 | 0) 3,17 (0,33 | 2 | 0) 
P000099;1,61;0,29;6;0,67;Sim/B/B03;1,7;0,44;3;1;Sim/B/B01 Sim/B/B02 ;0,7 (0,97 | 2 | 0,5) 1,58 (0,73 | 1 | 0) 
P000100;-0,92;0,18;6;0,5;;;;;;Sim/A/A06 Sim/B/B01 ;-1,01 (0,3 | 2 | 0) -0,92 (3,03 | 1 | 0) 
P000101;-0,92;0,18;6;0,5;;;;;;Sim/A/A06 Sim/B/B01 ;-1,01 (0,3 | 2 | 0) -0,92 (3,03 | 1 | 0) 
P000102;-4,64;0,22;12;0,08;Sim/A/A01;-4,53;0,25;3;0,33;Sim/A/A02 Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,64 (679,06 | 2 | 0) -4,7 (0,41 | 2 | 0) -4,64 (13,02 | 3 | 0) -4,64 (11857,86 | 1 | 0) -4,64 (193647,31 | 1 | 0) 
P000103;-2,04;0,19;7;0,29;Sim/A/A02;-2,14;0,3;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,14 (0,3 | 3 | 0) -2,04 (8,49 | 1 | 0) -2,04 (83,41 | 1 | 0) 
P000104;2,6;0,25;7;0,71;;;;;;Sim/B/B04 ;2,49 (0,37 | 2 | 0) 
P000105;-0,04;0,21;5;0,2;;;;;;Sim/A/A04 Sim/B/B03 Sim/C/C03 ;-0,14 (0,32 | 2 | 0) -0,05 (1,42 | 1 | 0) -0,05 (1 | 1 | 0) 
P000106;-0,46;0,18;5;0,4;;;;;;Sim/B/B01 Sim/B/B02 Sim/C/C01 ;-0,47 (0,83 | 1 | 0) -0,52 (0,38 | 1 | 0) -0,5 (0,42 | 1 | 0) 
P000107;2,96;0,19;9;0,78;Sim/B/B04;2,99;0,24;3;0,67;Sim/C/C10 ;2,92 (0,43 | 1 | 0) 
P000108;0,13;0,18;6;0,67;;;;;;Sim/B/B01 Sim/B/B02 ;0,04 (0,34 | 1 | 0) 0,08 (0,44 | 1 | 0) 
P000109;0,7;0,19;5;0,6;;;;;;Sim/B/B03 ;0,27 (0,55 | 2 | 0) 
P000110;0,3;0,21;6;0,83;;;;;;Sim/B/B01 ;-0,06 (0,36 | 1 | 0) 
P000111;0,33;0,23;4;0,5;;;;;;Sim/B/B03 Sim/C/C03 ;0,3 (0,58 | 1 | 0) 0,27 (0,45 | 1 | 0) 
