ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000651;-0,65;0,08;61;0,41;Sim/C/C03;-0,33;0,32;10;0,4;Sim/A/A07 Sim/C/C01 Sim/A/A04 Sim/B/B01 Sim/A/A02 ;-0,65 (0,2 | 4 | 0,5) -0,66 (0,18 | 6 | 0,5) -0,73 (0,23 | 6 | 0,5) -0,79 (0,27 | 10 | 0,4) -0,89 (0,24 | 6 | 0,5) 
P000652;-5,49;0,94;22;0;;;;;;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 Sim/B/B03 ;-5,64 (8,39 | 5 | 0) -5,82 (1,6 | 5 | 0) -5,95 (5,09 | 5 | 0) -6,53 (8,61 | 5 | 0) -6,81 (12,27 | 1 | 0) 
P000653;-2,52;0,14;40;0,4;Sim/B/B01;-1,28;0,3;10;0,3;Sim/B/B02 Sim/A/A05 Sim/A/A02 ;-2,52 (105,56 | 1 | 0) -2,54 (0,19 | 7 | 0,57) -3,01 (0,34 | 10 | 0,1) 
P000654;0,6;0,11;46;0,67;Sim/C/C02;0,85;0,3;10;0,8;Sim/B/B03 Sim/B/B02 Sim/A/A04 ;0,55 (0,24 | 5 | 0,4) 0,51 (0,25 | 4 | 0,5) 0,24 (0,24 | 4 | 0,75) 
P000655;1,73;0,2;52;0,38;Sim/C/C07;2,46;0,4;10;0,2;Sim/B/B03 Sim/B/B01 ;1,23 (0,21 | 5 | 0,6) 1,07 (0,24 | 7 | 0,57) 
P000656;-0,5;0,08;66;0,45;Sim/C/C03;-0,36;0,32;10;0,3;Sim/B/B01 Sim/A/A07 Sim/B/B02 ;-0,68 (0,26 | 10 | 0,5) -0,77 (0,18 | 7 | 0,29) -0,89 (0,48 | 10 | 0,1) 
P000657;1,98;0,2;44;0,45;Sim/B/B04;2,18;0,41;10;0,2;Sim/C/C04 Sim/C/C07 Sim/C/C10 Sim/B/B03 ;1,97 (1,45 | 1 | 0) 1,97 (1,33 | 1 | 0) 1,96 (1,05 | 5 | 0) 1,57 (0,26 | 10 | 0,6) 
P000658;3,36;0,09;65;0,48;Sim/C/C09;3,7;0,35;10;0,1;Sim/C/C08 Sim/B/B04 Sim/C/C05 Sim/C/C07 Sim/B/B01 ;3,35 (0,63 | 5 | 0) 3,33 (0,19 | 9 | 0,56) 3,32 (0,22 | 4 | 0,5) 3,14 (0,24 | 4 | 0,5) 2,39 (0,78 | 5 | 0,8) 
P000659;1,04;0,11;58;0,67;Sim/B/B02;1,77;0,35;10;0,5;Sim/C/C07 Sim/C/C04 Sim/B/B03 ;1,04 (3,39 | 1 | 0) 1,04 (2,34 | 2 | 0) 0,55 (0,24 | 5 | 0,4) 
P000660;-1,28;0,1;57;0,28;Sim/B/B01;-0,6;0,26;10;0,5;Sim/B/B02 Sim/A/A02 Sim/A/A07 Sim/C/C02 Sim/A/A06 ;-1,28 (1,1 | 5 | 0) -1,54 (0,24 | 6 | 0,5) -1,7 (0,99 | 6 | 0,17) -1,76 (0,94 | 6 | 0,17) -1,92 (0,65 | 7 | 0) 
P000661;-3,31;0,18;43;0,37;Sim/A/A03;-3,06;0,47;10;0,9;Sim/A/A06 Sim/B/B01 Sim/A/A02 Sim/A/A05 ;-3,31 (1,82 | 5 | 0) -3,31 (2,92 | 5 | 0) -3,32 (0,64 | 5 | 0) -3,38 (0,42 | 8 | 0) 
P000662;-0,65;0,08;60;0,42;Sim/B/B01;-0,17;0,24;6;0,67;Sim/A/A04 Sim/C/C01 Sim/C/C02 Sim/A/A07 Sim/B/B02 Sim/C/C03 ;-0,68 (0,25 | 6 | 0,5) -0,69 (0,2 | 6 | 0,33) -0,78 (0,25 | 4 | 0,25) -0,89 (0,22 | 5 | 0,2) -0,89 (0,48 | 10 | 0,1) -1,89 (1,27 | 5 | 0,2) 
P000663;2,16;0,21;32;0,5;Sim/B/B02;2,25;0,3;10;0,5;Sim/C/C10 Sim/C/C04 Sim/C/C07 Sim/B/B04 ;2,16 (5,47 | 1 | 0) 2,15 (1,17 | 1 | 0) 2,14 (1,15 | 1 | 0) 2,1 (0,51 | 7 | 0) 
P000664;-1,21;0,1;50;0,24;Sim/A/A02;-0,9;0,24;6;0,5;Sim/B/B02 Sim/C/C03 Sim/C/C02 Sim/A/A04 Sim/A/A07 Sim/A/A06 ;-1,21 (2,21 | 1 | 0) -1,23 (0,7 | 5 | 0) -1,44 (0,6 | 6 | 0,17) -1,44 (0,25 | 4 | 0,25) -1,7 (0,99 | 6 | 0,17) -1,91 (0,64 | 8 | 0) 
P000665;2,17;0,19;48;0,54;Sim/B/B02;2,5;0,34;10;0,9;Sim/C/C07 Sim/C/C04 Sim/B/B03 ;2,13 (0,7 | 5 | 0) 2,13 (0,67 | 5 | 0) 1,63 (0,28 | 10 | 0,8) 
P000666;-4,9;0,26;32;0,03;Sim/A/A01;-4,66;0,25;5;0,2;Sim/A/A06 Sim/B/B03 Sim/B/B01 Sim/A/A03 ;-4,91 (3,9 | 5 | 0) -4,91 (9,17 | 1 | 0) -4,91 (5,52 | 5 | 0) -5,53 (0,91 | 10 | 0) 
P000667;2,2;0,19;51;0,51;Sim/B/B04;2,58;0,24;6;0,33;Sim/C/C10 Sim/C/C07 Sim/C/C04 Sim/B/B01 ;2,17 (0,84 | 5 | 0) 2,16 (0,67 | 5 | 0) 2,15 (0,65 | 5 | 0) 1,43 (0,31 | 10 | 0,7) 
P000668;3,97;0,09;62;0,63;Sim/C/C09;4,29;0,21;5;0,4;Sim/C/C06 Sim/C/C07 Sim/C/C10 Sim/C/C05 Sim/B/B01 ;3,92 (0,2 | 4 | 0,5) 3,9 (0,18 | 9 | 0,56) 3,79 (0,23 | 4 | 0,5) 3,51 (0,22 | 4 | 0,5) 2,86 (1,28 | 5 | 0,8) 
P000669;-0,73;0,08;67;0,37;Sim/C/C03;-0,27;0,32;10;0,2;Sim/B/B02 Sim/C/C01 Sim/A/A02 Sim/A/A06 Sim/C/C02 ;-0,88 (0,48 | 10 | 0) -1,06 (0,23 | 5 | 0,4) -1,08 (0,23 | 6 | 0,33) -1,17 (0,22 | 6 | 0,17) -1,71 (0,96 | 5 | 0,2) 
P000670;0,17;0,1;57;0,49;Sim/C/C03;0,77;0,21;6;0,5;Sim/B/B03 Sim/C/C02 Sim/B/B02 ;0,15 (0,35 | 9 | 0) -0,12 (0,25 | 6 | 0,5) -0,46 (0,25 | 6 | 0,17) 
P000671;3,85;0,08;63;0,63;Sim/C/C08;4,15;0,24;5;0,4;Sim/C/C07 Sim/C/C10 Sim/C/C04 Sim/B/B02 ;3,77 (0,2 | 4 | 0,5) 3,62 (0,21 | 4 | 0,5) 3,6 (0,24 | 6 | 0,5) 2,98 (0,51 | 6 | 0,67) 
P000672;2,93;0,1;78;0,42;Sim/B/B04;3,04;0,18;7;0,43;Sim/C/C09 Sim/C/C08 Sim/C/C04 Sim/B/B02 Sim/C/C07 Sim/C/C05 Sim/B/B03 ;2,93 (1,13 | 5 | 0) 2,93 (0,96 | 5 | 0) 2,68 (0,38 | 10 | 0,3) 2,57 (0,35 | 10 | 0,8) 2,31 (0,49 | 10 | 0,1) 2,18 (0,88 | 8 | 0,13) 1,76 (0,33 | 10 | 0,8) 
P000673;-2,57;0,15;30;0,2;Sim/A/A06;-1,61;0,36;10;0,2;Sim/B/B01 Sim/A/A02 ;-2,58 (1,37 | 5 | 0) -3,1 (0,39 | 10 | 0,1) 
P000674;0,11;0,09;89;0,56;Sim/B/B02;0,97;0,33;10;0,6;Sim/B/B01 Sim/A/A06 Sim/A/A02 ;-0,09 (0,24 | 6 | 0,5) -0,27 (0,3 | 10 | 0,7) -0,94 (0,22 | 10 | 0,4) 
P000675;-3,59;0,19;31;0,42;Sim/A/A03;-3,16;0,42;10;0,9;Sim/A/A05 Sim/A/A06 Sim/A/A02 Sim/A/A01 ;-3,6 (1,29 | 1 | 0) -3,61 (2,18 | 5 | 0) -3,61 (1,11 | 5 | 0) -3,79 (0,24 | 5 | 0,6) 
P000676;-2,04;0,15;33;0,27;;;;;;Sim/C/C02 Sim/B/B01 Sim/C/C01 Sim/A/A02 ;-2,04 (1,82 | 1 | 0) -2,05 (0,71 | 5 | 0) -2,05 (0,7 | 4 | 0) -2,2 (0,24 | 6 | 0,5) 
